Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
002_S_0295,ROISignals_002_S_0295.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_0413,ROISignals_002_S_0413.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_0685,ROISignals_002_S_0685.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_0729,ROISignals_002_S_0729.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_1155,ROISignals_002_S_1155.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
002_S_2010,ROISignals_002_S_2010.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_2043,ROISignals_002_S_2043.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_2073,ROISignals_002_S_2073.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4171,ROISignals_002_S_4171.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4213,ROISignals_002_S_4213.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4219,ROISignals_002_S_4219.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4229,ROISignals_002_S_4229.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4237,ROISignals_002_S_4237.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4251,ROISignals_002_S_4251.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4262,ROISignals_002_S_4262.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4264,ROISignals_002_S_4264.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4270,ROISignals_002_S_4270.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
002_S_4473,ROISignals_002_S_4473.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
002_S_4654,ROISignals_002_S_4654.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
002_S_4799,ROISignals_002_S_4799.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
003_S_0908,ROISignals_003_S_0908.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
